name,market,funding_total_usd,status,country_code,state_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Gamar,Games,0,operating,GBR,,London,1,2009-01-01,2014-01-31,2014-01-31
Gambody,Marketplaces,0,operating,DEU,,England,1,,2014-08-01,2014-08-01
Game Blisters,Consumer Electronics,0,operating,USA,CA,Diamond Bar,1,,2014-05-21,2014-05-21
Game Core Studios,Online Gaming,0,operating,USA,IL,Ingleside,1,2010-01-01,2015-02-04,2015-02-04
Game Face Hockey,Entertainment,0,operating,USA,OH,Toledo,1,1996-01-01,2012-03-22,2012-03-22
Game Time Arena,,0,operating,,,,1,2013-10-03,2011-12-20,2011-12-20
GameGenetics,Distribution,0,operating,DEU,,Berlin,1,,2012-04-03,2012-04-03
Gamemaster,Events,0,operating,USA,SC,Greenville,1,2010-01-01,2014-02-10,2014-02-10
GameMix,Mobile,0,operating,USA,CA,Pasadena,2,,2013-06-01,2013-08-16
Gameology,Entertainment,0,operating,USA,CT,Stamford,1,,2014-08-28,2014-08-28
GamePix,Games,0,operating,ITA,,Rome,1,2014-01-01,2014-07-10,2014-07-10
Gameplay.fm,,0,operating,USA,CA,Sunnyvale,1,2005-04-30,2011-08-12,2011-08-12
GamePress,Games,0,operating,TUR,,íˆan,1,,2013-05-10,2013-05-10
Gamer Guides,Games,0,operating,,,,2,2007-01-01,2013-02-06,2014-01-09
Gamerius,Games,0,operating,USA,AR,Fayetteville,1,1993-01-01,2013-08-13,2013-08-13
Gamewheel,Game,0,operating,DEU,,Berlin,1,2012-01-01,2014-12-03,2014-12-03
GameWorld Assocites,Entertainment,0,operating,USA,NV,Las Vegas,1,,2014-05-29,2014-05-29
Gameyeeeah,Video Games,0,operating,,,,1,2013-01-01,2010-01-01,2010-01-01
Gameyola,Social Games,0,operating,USA,CA,Palo Alto,1,2009-01-01,2009-06-01,2009-06-01
Gaming Battleground,,0,operating,,,,1,2014-06-01,2015-05-01,2015-05-01
GamingTurf,Games,0,operating,USA,NY,Levittown,1,2007-01-01,2014-04-10,2014-04-10
GAMINSIDE,SaaS,0,operating,AUT,,Vienna,1,2013-01-01,2012-02-02,2012-02-02
Gangkr,Social Media,0,operating,CHN,,Shanghai,1,2013-04-01,2013-08-01,2013-08-01
Ganipara,Services,0,operating,TUR,,Ankara,1,2012-04-12,2013-04-16,2013-04-16
Gant,Lifestyle,0,operating,SWE,,Stockholm,1,,2003-07-01,2003-07-01
gantto,Curated Web,0,acquired,USA,CA,San Francisco,1,2014-04-11,2010-08-02,2010-08-02
Gaosi Education Group,Education,0,operating,,,,2,,2011-11-01,2012-03-01
"Gaoxing Co., Ltd",Manufacturing,0,operating,CHN,,Shanghai,1,,2007-09-01,2007-09-01
Gap Designs,Manufacturing,0,operating,,,,1,2006-01-01,2014-01-23,2014-01-23
Gappless,Software,0,operating,NLD,,Halfweg,1,2010-01-02,2013-11-01,2013-11-01
Garages2Envy,,0,operating,USA,FL,Jacksonville,1,2003-01-01,2014-09-08,2014-09-08
GarageSkins,,0,operating,USA,OR,Creswell,1,2010-01-01,2014-04-02,2014-04-02
garajyeri,,0,operating,TUR,,Istanbul,1,2007-01-01,2015-01-01,2015-01-01
garbage guru,Entertainment,0,operating,USA,IA,Oelwein,1,2005-12-01,2014-12-15,2014-12-15
garbs,Social Media,0,operating,,,,1,2008-10-01,2012-02-03,2012-02-03
Gasp Solar,,0,operating,,,,1,,2012-12-28,2012-12-28
Gastrotech Pharma,Pharmaceuticals,0,operating,,,,1,1995-01-01,2003-11-13,2003-11-13
Gateshop,,0,operating,,,,1,,2012-09-01,2012-09-01
Gateway Development Group,Real Estate,0,operating,USA,NV,Las Vegas,1,,2014-07-01,2014-07-01
Gateway Interactive,Technology,0,operating,,,,1,,2014-09-07,2014-09-07
Gatfol Technology,Search,0,operating,NZL,,,1,2000-01-01,2012-01-12,2012-01-12
Gather Central,Advertising,0,operating,,,,1,2006-12-01,2015-08-25,2015-08-25
GATR Technologies,Software,0,operating,USA,AL,Huntsville,1,2008-03-01,2008-03-01,2008-03-01
Gatsby,,0,operating,,,,1,,2014-11-01,2014-11-01
Gault Millau,Media,0,operating,FRA,,Courbevoie,1,2011-01-01,2009-01-01,2009-01-01
gauzz,Offline Businesses,0,operating,BRA,,Sí£o Paulo,1,,2014-03-01,2014-03-01
GazeHawk,Finance,0,acquired,USA,CA,Mountain View,1,2011-01-01,2010-06-01,2010-06-01
Gazelles Growth Institute,Education,0,operating,USA,TX,Austin,1,2013-10-05,2012-11-30,2012-11-30
Gbatteries,Hardware + Software,0,operating,,,,1,2008-09-03,2014-01-01,2014-01-01
"Gbox by OnCircle, Inc.",E-Commerce,0,operating,USA,CA,Redwood City,1,,2014-01-01,2014-01-01
GC Lifeline,Software,0,operating,CAN,AB,Edmonton,1,2011-11-30,2015-04-29,2015-04-29
GCPay.com,Billing,0,operating,USA,VA,Richmond,1,,2008-05-30,2008-05-30
GCW,Sports,0,operating,USA,CO,Olathe,1,2009-04-29,2010-09-29,2010-09-29
Gecko Tail Holdings,Food Processing,0,operating,CAN,ON,Toronto,1,2004-01-01,2015-03-18,2015-03-18
GeckoGo,Travel,0,operating,USA,CA,Mountain View,1,2010-01-01,2009-06-01,2009-06-01
Geddit,K-12 Education,0,operating,USA,CA,Palo Alto,1,2013-04-25,2014-01-14,2014-01-14
Geeksphone,Manufacturing,0,operating,ESP,,Madrid,1,2011-05-01,2009-10-01,2009-10-01
Geili Giving,Apps,0,operating,CHN,,Beijing,1,2013-02-01,2015-03-02,2015-03-02
Gekko,Hospitality,0,operating,GBR,,Newbury,1,2012-06-01,2009-03-16,2009-03-16
Gekko Global Markets,Finance,0,operating,GBR,,London,1,2014-01-14,2011-02-07,2011-02-07
Gelato Group,Cloud Computing,0,operating,NOR,,Oslo,1,1993-01-01,2010-04-26,2010-04-26
Gemino Healthcare Finance,Finance,0,operating,USA,PA,Philadelphia,1,2009-09-01,2007-09-05,2007-09-05
Gemisimo,Public Relations,0,closed,,,,1,2010-01-02,2007-01-01,2007-01-01
GemPhones,Fashion,0,operating,,,,1,,2013-10-24,2013-10-24
GemPundit,Internet,0,operating,IND,,Gurgaon,1,2012-01-01,2014-10-08,2014-10-08
Gemsco Education,,0,operating,,,,1,2011-06-20,2014-04-20,2014-04-20
Gen110,Energy,0,operating,USA,CA,Oakland,1,,2012-05-17,2012-05-17
Gen3 Partners,Manufacturing,0,operating,USA,MA,Boston,1,2009-04-04,2000-08-01,2000-08-01
Genability,Energy Management,0,operating,USA,CA,San Francisco,1,2008-11-01,2014-02-05,2014-02-05
Geneformics Data Systems Ltd.,IT Management,0,operating,,,,1,2011-01-01,2014-09-01,2014-09-01
GENEI Systems Inc.,PaaS,0,closed,USA,MA,White Horse Beach,1,2012-02-14,2011-08-04,2011-08-04
GeneQuine Biotherapeutics GmbH,,0,operating,,,,1,2013-01-01,2012-11-12,2012-11-12
gener8tor,Venture Capital,0,operating,USA,WI,Milwaukee,1,2012-01-01,2014-12-01,2014-12-01
Generations Home Repair,Manufacturing,0,operating,USA,CO,Englewood,1,2008-06-01,2012-12-26,2012-12-26
Generaytor,Virtualization,0,operating,,,,1,,2012-09-01,2012-09-01
GeneriMed,Medical,0,operating,USA,NM,Las Cruces,1,2012-11-01,2012-08-28,2012-08-28
Genero,Music,0,operating,AUS,,Sydney,1,2015-04-20,2012-02-28,2012-02-28
Genesant,,0,operating,AUT,,Vienna,1,2011-01-01,2000-08-15,2000-08-15
Genesius Pictures,,0,operating,GBR,,London,1,2005-01-01,2014-05-09,2014-05-09
Genetic Technologies inc,Biotechnology,0,operating,USA,MO,Glencoe,1,2013-03-01,2013-08-27,2013-08-27
Genia Photonics,Analytics,0,operating,CAN,QC,Laval,1,2011-06-01,2011-09-01,2011-09-01
Genio Studio Ltd,Mobile Commerce,0,operating,HUN,,Budapest,1,2013-01-01,2014-03-01,2014-03-01
Genius Blends,Health Care,0,operating,USA,AZ,Phoenix,1,2013-01-01,2012-05-18,2012-05-18
Genius Digital,Television,0,operating,GBR,,Bath,1,2012-01-01,2013-09-26,2013-09-26
GeniusCo-op National Housing Cooperative,Real Estate,0,operating,USA,FL,Pensacola,1,2009-01-01,2014-05-11,2014-05-11
GenJuice,Media,0,operating,USA,NY,New York,1,2005-11-01,2011-09-16,2011-09-16
Genlot,E-Commerce,0,operating,CHN,,Shenzhen,2,2011-11-01,2006-03-01,2007-03-01
GenomeDx Biosciences,Biotechnology,0,operating,CAN,BC,Vancouver,2,2001-03-30,2012-01-09,2013-09-30
Genoox,Health Care,0,operating,,,,1,,2014-08-25,2014-08-25
Genotype Diagnostics,Bioinformatics,0,operating,USA,NY,New York,1,2000-01-01,2011-01-01,2011-01-01
Genterpret,Medical,0,operating,USA,NY,New York,1,,2013-09-26,2013-09-26
Genus Oncology,Biotechnology,0,operating,USA,IL,Vernon Hills,1,2009-01-01,2011-05-01,2011-05-01
Geoforce,Software,0,operating,USA,TX,Coppell,1,2013-10-01,2013-09-05,2013-09-05
Geofusion,Public Transportation,0,operating,BRA,,Sí£o Paulo,1,2012-01-01,2013-03-20,2013-03-20
GeoGraffiti,Opinions,0,operating,USA,CA,Los Angeles,1,2001-01-01,2007-11-01,2007-11-01
GeoSafe,Software,0,operating,,,,2,1980-01-01,2014-07-22,2015-03-01
Geotechnologies,,0,operating,,,,1,1999-01-01,2008-01-01,2008-01-01
GeoTrac,Business Development,0,operating,USA,AR,Fayetteville,1,2012-01-01,2008-08-01,2008-08-01
GeoVario,Web Hosting,0,operating,USA,CA,San Jose,1,2012-01-01,2004-01-01,2004-01-01
Geozate,Events,0,operating,,,,1,2001-01-01,2014-03-11,2014-03-11
GeriJoy,Health Care,0,operating,USA,MA,Cambridge,1,2013-03-01,2012-07-19,2012-07-19
GERS,,0,acquired,USA,CA,San Diego,1,2012-07-01,1998-01-07,1998-01-07
Geswind,Finance,0,operating,USA,NV,Las Vegas,1,2004-01-01,2014-09-07,2014-09-07
Get In,Analytics,0,closed,,,,2,2009-05-20,2008-12-01,2009-08-01
Get Me Listed,Local Search,0,operating,CAN,QC,Montrí©al,1,2013-01-01,2012-04-27,2012-04-27
Get Real Health,Software,0,operating,USA,MD,Rockville,1,2011-01-01,2013-08-30,2013-08-30
Get-n-Post,,0,operating,,,,1,2014-01-01,2014-01-01,2014-01-01
GetAFive,Video,0,operating,USA,IL,Chicago,1,,2012-11-01,2012-11-01
Getbazza,Social Media,0,operating,ITA,,Venezia,1,2014-09-12,2010-12-28,2010-12-28
getExperts,,0,operating,,,,1,2013-01-01,2013-09-20,2013-09-20
GetFresh,Curated Web,0,acquired,USA,CA,San Francisco,1,2011-01-01,2013-02-05,2013-02-05
GetInsyde,,0,operating,,,,1,,2015-01-01,2015-01-01
Getlokal,Reviews and Recommendations,0,operating,BGR,,Sofia,1,2011-01-01,2015-01-01,2015-01-01
GetLook,Consumer Goods,0,operating,IND,,Bangalore,1,2014-09-01,2015-08-17,2015-08-17
GetMaid,Service Providers,0,acquired,USA,NY,New York,1,2012-10-04,2012-01-01,2012-01-01
GetNow.At,Online Shopping,0,operating,IND,,Nagpur,1,,2015-07-03,2015-07-03
GetO2,,0,operating,USA,AZ,Scottsdale,1,,2010-03-19,2010-03-19
GetPrice,E-Commerce,0,acquired,AUS,,Sydney,2,,2006-07-01,2007-10-01
GetPromotd,Events,0,operating,USA,TX,Austin,1,2014-07-07,2011-05-12,2011-05-12
GetQd,Mobile,0,operating,CAN,AB,Calgary,1,2010-01-01,2014-06-01,2014-06-01
GetSafe,Banking,0,operating,DEU,,Heidelberg,2,2002-02-01,2015-04-01,2015-06-11
GetShopApp,Freemium,0,operating,DEU,,Hamburg,2,,2013-04-01,2013-11-01
Getui,Technology,0,operating,CHN,,Beijing,1,1996-01-01,2014-07-18,2014-07-18
GHash.IO,Software,0,operating,NLD,,,1,2012-01-01,2013-01-01,2013-01-01
GHEN MATERIALS,Chemicals,0,operating,USA,NJ,Hoboken,1,2011-06-01,2011-07-15,2011-07-15
GHH Commerce,E-Commerce,0,operating,USA,CA,Beverly Hills,1,2010-01-01,2012-10-10,2012-10-10
Ghz Technology,,0,acquired,USA,OR,Bend,1,2011-03-01,1996-12-05,1996-12-05
Giatec Scientific,,0,operating,,,,1,2010-05-01,2014-08-01,2014-08-01
GIBSS,Environmental Innovation,0,operating,IND,,Mumbai,1,2009-04-01,2015-08-07,2015-08-07
Gideros Mobile,Android,0,operating,,,,1,2011-10-01,2011-06-08,2011-06-08
Gift Card Combo,Finance,0,operating,USA,IL,Batavia,1,,2012-10-31,2012-10-31
Gift Card Impressions,Consumer Goods,0,operating,USA,MO,Kansas City,1,2012-12-12,2012-02-28,2012-02-28
Gift Off,,0,operating,,,,1,2013-08-01,2014-08-22,2014-08-22
GiftCardsIndia,,0,operating,IND,,Malad,1,2012-10-11,2014-11-11,2014-11-11
gifted2you,Flowers,0,operating,GBR,,Marlow,2,2004-09-01,2012-02-01,2012-12-01
Gifter,,0,operating,,,,1,2011-07-26,2015-03-20,2015-03-20
Giftindia24x7.com,Shopping,0,operating,IND,,Kolkata,1,2008-01-01,2001-01-02,2001-01-02
Giftology,Social Media,0,closed,IND,,New Delhi,1,2013-11-18,2013-01-31,2013-01-31
Giftpass,,0,operating,,,,2,,2014-05-25,2015-01-25
GiftRocket,Gift Card,0,operating,USA,CA,Mountain View,1,2010-09-09,2011-03-21,2011-03-21
Giftxoxo,E-Commerce,0,operating,IND,,Bangalore,1,2012-01-01,2013-07-10,2013-07-10
Gifyoutube,,0,operating,,,,1,2007-01-01,2014-12-11,2014-12-11
GigaBryte,Educational Games,0,operating,USA,CA,Palo Alto,1,1996-01-01,2013-05-06,2013-05-06
Gigaclear,Web Hosting,0,operating,GBR,,Chipping Norton,1,2012-01-07,2012-11-23,2012-11-23
Gigalo,Freelancers,0,operating,DEU,,Hamburg,1,2013-06-01,2011-02-05,2011-02-05
Giggin.it,Events,0,operating,USA,CA,San Francisco,1,,2015-01-20,2015-01-20
Gigstarter,Ticketing,0,operating,IRL,,Dublin,1,2011-01-01,2013-02-01,2013-02-01
Gigster,Apps,0,operating,USA,CA,San Francisco,1,2013-01-01,2014-01-01,2014-01-01
Gilian Technologies,,0,operating,USA,CA,Carlsbad,2,,2002-02-14,2003-02-18
Gilon Business Insight,Business Intelligence,0,acquired,ISR,,Rosh Ha'ayin,1,,2006-01-01,2006-01-01
"Gine, Inc.",Application Platforms,0,operating,,,,1,2011-10-01,2015-07-05,2015-07-05
Ginmon GmbH,Financial Services,0,operating,DEU,,Frankfurt,1,2010-07-10,2014-11-14,2014-11-14
Girl Meets Dress,Startups,0,operating,GBR,,London,1,1998-01-01,2013-08-30,2013-08-30
Girls Guide To,Curated Web,0,operating,USA,CA,Newport Beach,1,2014-01-01,2012-01-08,2012-01-08
Girly Stuff,Entertainment,0,operating,USA,IL,Chicago,1,2005-01-01,2007-06-20,2007-06-20
GIS Cloud,Cloud Computing,0,operating,GBR,,London,2,2011-12-16,2010-01-01,2010-09-16
GIT - Sistemas Ltda,Information Technology,0,operating,BRA,,Novo Hamburgo,1,2004-01-01,2007-01-05,2007-01-05
Giveit100,Curated Web,0,operating,USA,CA,San Mateo,1,2007-01-01,2014-01-30,2014-01-30
GiveLoop,Nonprofits,0,operating,USA,NY,New York,1,2003-01-01,2010-08-15,2010-08-15
Given.to,E-Commerce,0,operating,,,,1,,2012-11-06,2012-11-06
Giver,,0,operating,,,,1,,2012-12-01,2012-12-01
Givespark,,0,closed,USA,CA,Palo Alto,1,,2012-03-01,2012-03-01
GIX,,0,operating,,,,1,,2014-11-01,2014-11-01
GL 2ours,Transportation,0,operating,USA,NJ,Kearny,1,,2011-07-15,2011-07-15
Glaceau,Specialty Foods,0,operating,USA,NY,New York,1,,2003-04-01,2003-04-01
GladFly,,0,operating,,,,1,1999-01-01,2014-06-01,2014-06-01
Gladstone Analytics,Financial Services,0,operating,,,,1,,2015-02-10,2015-02-10
Glam .fr France,Social Network Media,0,closed,FRA,,Paris,1,,2010-01-01,2010-01-01
GlamCorner,Internet,0,operating,AUS,,Sydney,1,,2015-04-30,2015-04-30
Glamour.com.ng,E-Commerce,0,operating,NGA,,Lagos,1,2014-01-01,2013-06-17,2013-06-17
"GLAMSTAND, Inc.",Beauty,0,operating,USA,CA,West Hollywood,1,2000-01-01,2015-03-01,2015-03-01
GlanceAt,Software,0,operating,,,,1,1985-01-01,2014-11-01,2014-11-01
Glass,E-Commerce,0,closed,USA,TX,Dallas,1,2013-09-09,2012-03-01,2012-03-01
Glasshouse International,Consulting,0,operating,USA,VA,Vienna,1,2004-04-20,2012-10-15,2012-10-15
GlassiCam,Insurance,0,operating,USA,NC,Charlotte,1,1996-01-01,2015-06-26,2015-06-26
Glassjar,Mobile,0,operating,USA,CA,San Francisco,1,2002-01-01,2014-10-06,2014-10-06
Glassmap,Mobile,0,acquired,USA,CA,Mountain View,1,,2011-08-02,2011-08-02
Glean.in,SaaS,0,operating,GBR,,London,1,2014-06-10,2012-08-01,2012-08-01
Gleanster Research,Market Research,0,operating,USA,CA,Pleasanton,1,2013-01-01,2011-01-01,2011-01-01
GLG,Business Services,0,operating,USA,NY,New York,1,2009-01-01,2006-03-01,2006-03-01
Glidepath Power,,0,operating,,,,1,2009-08-08,2014-02-26,2014-02-26
GLIMR,Customer Service,0,operating,GBR,,London,2,2011-01-01,2014-09-01,2015-05-18
Glio,Curated Web,0,operating,BRA,,Rio De Janeiro,2,2006-04-27,2013-06-01,2013-09-01
Glisser,Polling,0,operating,GBR,,London,1,2014-07-11,2015-01-06,2015-01-06
Glitter Fix,Fashion,0,operating,USA,CA,Clovis,1,2011-01-01,2015-04-02,2015-04-02
Glo Bags,Sports,0,operating,USA,IL,Kenilworth,1,2010-07-14,2012-05-07,2012-05-07
Global Active,,0,operating,PRT,,,1,2013-01-01,2006-01-01,2006-01-01
Global Animationz,Medical,0,operating,USA,ND,West Fargo,1,2009-11-01,2014-09-09,2014-09-09
Global Bay Mobile,Mobile,0,operating,USA,NJ,South Plainfield,1,2010-02-01,2002-01-01,2002-01-01
Global Employment Solutions,,0,acquired,USA,CO,Littleton,1,2003-01-01,2014-04-02,2014-04-02
Global Energy Innovation,,0,operating,USA,MI,Flint,1,,2008-03-18,2008-03-18
Global Green Capitals Corporation,Wholesale,0,operating,,,,1,2009-12-01,2013-06-17,2013-06-17
Global iTS,Software,0,operating,BHR,,Manama,1,2001-01-01,2014-11-08,2014-11-08
Global Lumber Solutions USA,Manufacturing,0,operating,USA,CA,Valencia,1,2013-10-01,2014-06-24,2014-06-24
Global Nano Products,Nanotechnology,0,operating,CAN,BC,Vancouver,1,2009-04-09,2012-10-08,2012-10-08
Global Paint for Charity,Waste Management,0,operating,USA,GA,Atlanta,2,2010-01-01,2015-03-01,2015-03-25
Global Protein Solutions,,0,operating,GBR,,Loughton,2,,2008-08-30,2009-11-16
Global RallyCross Championship,Sports,0,operating,USA,CA,West Hollywood,1,2008-02-01,2012-09-16,2012-09-16
Global Real Estate Partners,Commercial Real Estate,0,operating,,,,1,2011-01-01,2013-08-06,2013-08-06
Global Service Bureau,Networking,0,operating,USA,KS,Lawrence,1,2007-01-31,2012-01-30,2012-01-30
Global Sugar Art,E-Commerce,0,operating,USA,NY,Plattsburgh,1,2003-10-07,2013-01-21,2013-01-21
Global Talent Track,Corporate Training,0,operating,IND,,Pune,1,2003-01-01,2009-01-14,2009-01-14
Global Top Level,,0,operating,,,,1,2007-08-21,2011-12-01,2011-12-01
Global Transaction Services Group,Nonprofits,0,operating,USA,NE,Omaha,1,1976-01-01,2015-04-28,2015-04-28
Global Wine Export,Wine And Spirits,0,operating,USA,OR,Talent,1,2014-04-01,2012-08-23,2012-08-23
GlobalOne Group,Enterprise Software,0,acquired,USA,NY,New York,1,2006-12-01,2011-08-24,2011-08-24
GlobaTrek,Software,0,operating,USA,CA,Mountain View,1,1992-01-01,2013-10-01,2013-10-01
Globe Icons Creative,Business Services,0,operating,USA,NJ,Hainesport,1,2011-08-10,2013-01-01,2013-01-01
Globe Wireless,Mobile,0,operating,USA,FL,Palm Bay,1,,2000-02-28,2000-02-28
Globial,Social Media,0,operating,USA,CA,Sunnyvale,2,,2009-01-01,2013-05-01
Globitel,Software,0,operating,,,,1,2009-01-01,2009-02-05,2009-02-05
Globoforce,Human Resources,0,operating,USA,MA,Southborough,1,2011-01-01,2002-01-01,2002-01-01
"Glossi, Inc",Publishing,0,operating,USA,CA,Santa Monica,1,2012-01-01,2012-10-01,2012-10-01
GLOSSYBOX,E-Commerce,0,acquired,DEU,,Berlin,2,2013-07-14,2011-02-15,2011-05-31
Glowbiotics,,0,operating,,,,1,2014-11-04,2012-04-20,2012-04-20
Glownet,RFID,0,operating,GBR,,London,1,2007-02-01,2014-05-01,2014-05-01
Glowship,Retail,0,operating,IND,,Bangalore,1,2012-05-01,2015-08-03,2015-08-03
GlucoVista,Health Care,0,operating,ISR,,Tel Aviv,2,2011-08-01,2008-12-31,2011-12-29
Gluu IO,Big Data Analytics,0,operating,IRL,,Cork,1,1990-01-01,2014-11-15,2014-11-15
Gluvi,Content,0,operating,KOR,,Seoul,1,,2015-06-01,2015-06-01
GLWL Research,Search,0,operating,USA,IN,,1,2012-01-01,2014-01-13,2014-01-13
GlycoPure,Medical,0,operating,USA,MD,Cambridge,1,2008-01-01,2010-10-26,2010-10-26
GM Europe,Manufacturing,0,operating,,,,1,,2015-01-01,2015-01-01
GMEX,,0,operating,USA,TX,Houston,1,,2013-02-21,2013-02-21
Gnammo,Hospitality,0,operating,ITA,,Torino,1,2009-01-01,2013-12-15,2013-12-15
GNEX,,0,operating,,,,1,2011-05-03,2013-03-31,2013-03-31
Gnome Extract,Wholesale,0,operating,USA,WA,Vancouver,1,2002-01-01,2015-03-04,2015-03-04
Go Moment,Hospitality,0,operating,USA,CA,Santa Monica,1,2013-04-26,2015-03-15,2015-03-15
GO Net Systems,Mobile,0,acquired,USA,CA,Chatsworth,1,2004-01-01,2011-07-01,2011-07-01
Go Solar Plus,Clean Technology,0,operating,CAN,ON,Waterloo,1,,2014-10-07,2014-10-07
GoalShare.com,News,0,operating,USA,TX,Austin,1,2011-05-01,2013-04-01,2013-04-01
goBramble,Games,0,operating,IRL,,Dublin,1,2007-01-01,2014-02-01,2014-02-01
Gociety,Outdoors,0,operating,USA,CO,Denver,1,2006-01-01,2013-06-01,2013-06-01
GoComm,Messaging,0,operating,,,,1,,2013-03-01,2013-03-01
Godigex,Music,0,closed,,,,1,2013-06-22,2012-01-01,2012-01-01
goDog Fetch,Software,0,operating,USA,CA,La Jolla,1,2011-03-01,2014-06-02,2014-06-02
GoFundMe,Curated Web,0,operating,USA,CA,San Diego,1,2010-01-01,2015-06-18,2015-06-18
GoGoGab,Social Television,0,operating,USA,CA,Culver City,1,1993-01-01,2015-01-01,2015-01-01
GoGroceries Business Plan,Hospitality,0,operating,USA,AR,Fayetteville,1,,2011-04-20,2011-04-20
GoInformatics,Enterprise Software,0,operating,USA,IN,South Bend,1,2012-06-01,2011-12-21,2011-12-21
GOintegro,Social Media,0,operating,ARG,,Buenos Aires,2,,2012-10-14,2014-01-01
gokit,Social Network Media,0,operating,USA,CA,San Francisco,1,1999-01-01,2011-08-04,2011-08-04
GoLark,Curated Web,0,operating,USA,NY,New York,1,2000-01-01,2007-11-01,2007-11-01
Golden Gekko,Mobile,0,acquired,USA,NY,New York,1,2014-05-02,2007-09-01,2007-09-01
Golden Link Plus,,0,operating,USA,CA,Rosemead,1,2014-07-01,2015-01-01,2015-01-01
Golden Spike,Aerospace,0,operating,,,,1,2008-09-15,2015-01-01,2015-01-01
GoldenGate Software,Software,0,acquired,USA,CA,San Francisco,1,2011-05-01,2002-03-13,2002-03-13
GolfLAN,Sports,0,operating,IND,,New Delhi,1,2009-05-01,2015-03-25,2015-03-25
"Golfler Holdings, LLC",Predictive Analytics,0,operating,USA,MI,Detroit,3,,2015-02-21,2015-06-15
Golimi,E-Commerce,0,operating,,,,1,2003-09-11,2011-05-01,2011-05-01
GoLocal24,News,0,operating,,,,1,,2011-05-10,2011-05-10
GOLOVACH QUARTZ,Manufacturing,0,operating,VNM,,Ho Chi Minh City,1,2010-02-01,2014-09-16,2014-09-16
GoMetro,Apps,0,operating,,,,1,,2014-06-02,2014-06-02
GoNabit,E-Commerce,0,acquired,ARE,,Dubai,1,2012-05-01,2010-06-23,2010-06-23
GOOD,News,0,operating,USA,CA,Los Angeles,1,2011-11-03,2009-10-14,2009-10-14
Good Faith Film Fund,News,0,operating,USA,UT,Springville,1,2007-01-01,2013-12-31,2013-12-31
"Good Farma Films, LLC",Film,0,operating,USA,OK,Fairview,1,2005-01-01,2013-05-21,2013-05-21
Good Greens,,0,operating,USA,OH,Cleveland,1,2013-04-01,2011-01-01,2011-01-01
Good Photo,Photography,0,operating,CHN,,Chengdu,1,2010-09-01,2010-05-01,2010-05-01
Good Seed,Food Processing,0,operating,USA,TX,Austin,1,2010-01-01,2013-11-30,2013-11-30
Good Travel Software,Software,0,operating,IRL,,Dublin,1,2015-02-01,2012-02-01,2012-02-01
Goodlord,Property Management,0,operating,GBR,,London,1,,2015-07-27,2015-07-27
Goodman Asset Protection,Security,0,operating,USA,GA,Atlanta,1,2008-01-01,2011-08-31,2011-08-31
GoodMark Capital Group,Manufacturing,0,operating,USA,TX,Seagoville,1,2005-01-01,2015-03-14,2015-03-14
Goodrich International,Food Processing,0,operating,,,,1,2012-02-01,2015-03-10,2015-03-10
Goods Platform,Business Development,0,closed,,,,1,2012-12-01,2013-10-29,2013-10-29
GoodStori Inc.,Sales and Marketing,0,operating,USA,CA,Los Altos,1,2010-01-01,2013-08-13,2013-08-13
GoodWest Industries,Food Processing,0,operating,USA,PA,Warminster,1,2004-01-01,2015-08-24,2015-08-24
Goojitsu,Consulting,0,operating,USA,NY,Plattsburgh,1,2013-01-01,2014-02-16,2014-02-16
Goombal,Cloud Computing,0,operating,USA,CA,San Francisco,1,2015-01-01,2014-06-10,2014-06-10
Goonies,,0,operating,,,,1,,2014-10-14,2014-10-14
GooodJob,Social Recruiting,0,operating,ISR,,Tel Aviv,1,2014-03-18,2011-01-01,2011-01-01
Goowy,Curated Web,0,acquired,USA,CA,San Diego,1,2006-01-01,2006-04-01,2006-04-01
Goozex,E-Commerce,0,operating,USA,MD,College Park,1,,2006-01-01,2006-01-01
GoPago,Enterprise Software,0,acquired,USA,CA,Pasadena,1,2013-04-20,2012-02-23,2012-02-23
GoPicnic,Hospitality,0,operating,USA,IL,Schiller Park,1,1996-01-01,2012-09-07,2012-09-07
GoPixel,Sales and Marketing,0,operating,GBR,,,1,2012-02-08,2013-09-06,2013-09-06
GOQii,Lifestyle,0,operating,USA,CA,Menlo Park,3,2006-01-01,2014-01-01,2015-07-03
GoSkip,Apps,0,operating,,,,2,,2013-07-07,2015-03-01
GoSquared,Analytics,0,operating,GBR,,London,1,2012-10-01,2011-01-01,2011-01-01
GoSurf Accessories,Sporting Goods,0,operating,USA,CA,San Diego,1,2002-01-01,2014-09-01,2014-09-01
goTaja.com,E-Commerce,0,operating,,,,1,1985-01-01,2010-01-01,2010-01-01
GotoTel,Mobile,0,operating,CHN,,Beijing,1,2008-09-02,2006-04-01,2006-04-01
Gotta'go Personal Care Device,Medical Devices,0,operating,USA,CA,Beaumont,1,2012-09-07,2013-01-24,2013-01-24
Gotye,Information Technology,0,operating,CHN,,Shanghai,1,2012-04-27,2014-10-13,2014-10-13
Goumin.com,Pets,0,operating,,,,1,2011-04-01,2010-01-01,2010-01-01
GourmetZoom,Internet,0,operating,USA,NY,New York,1,2011-01-01,2014-01-01,2014-01-01
Govenlock Green,Manufacturing,0,operating,USA,DC,Washington,1,2008-08-15,2013-10-25,2013-10-25
